idEstimote,Battery,Rssi
de81d543721249f6,-56,79
0d5c5b6ed855dbbc,-56,43
fc337481622c4dc8,-57,84
9fcccaab3f956f66,-61,93
b4c8c0b52049e4de,-60,91
e2d0d77756858a3c,-40,84
58a45c9d5037a520,-52,80
0d5c5b6ed855dbbc,-61,43
a58db253434c6759,-61,93
9fcccaab3f956f66,-68,93
359da2e3798189c9,-45,90
b4c8c0b52049e4de,-53,91
4b528a07c6810670,-63,80
7eb3bed60a67f44d,-67,80
dbde4e323567f381,-76,99
9a97a9cd9ac398de,-65,67
e2d0d77756858a3c,-42,84
58a45c9d5037a520,-61,80
917cd714e1103994,-49,63
de81d543721249f6,-55,79
fc337481622c4dc8,-61,84
4af6994df3a900b9,-73,77
9fcccaab3f956f66,-61,93
359da2e3798189c9,-55,90
b4c8c0b52049e4de,-60,91
4b528a07c6810670,-71,80
7eb3bed60a67f44d,-59,80
9a97a9cd9ac398de,-65,67
e2d0d77756858a3c,-40,84
917cd714e1103994,-54,63
fc337481622c4dc8,-57,84
359da2e3798189c9,-46,90
b4c8c0b52049e4de,-53,91
4b528a07c6810670,-69,80
9a97a9cd9ac398de,-65,67
e2d0d77756858a3c,-43,84
58a45c9d5037a520,-64,80
917cd714e1103994,-57,63
0d5c5b6ed855dbbc,-60,43
fc337481622c4dc8,-60,84
9fcccaab3f956f66,-65,93
9a97a9cd9ac398de,-64,67
917cd714e1103994,-50,63
de81d543721249f6,-60,79
a58db253434c6759,-63,93
fc337481622c4dc8,-57,84
9fcccaab3f956f66,-61,93
359da2e3798189c9,-55,90
b4c8c0b52049e4de,-52,91
7eb3bed60a67f44d,-63,80
9a97a9cd9ac398de,-68,67
e2d0d77756858a3c,-42,84
917cd714e1103994,-56,63
0d5c5b6ed855dbbc,-57,43
de81d543721249f6,-56,79
a58db253434c6759,-65,93
fc337481622c4dc8,-60,84
9fcccaab3f956f66,-64,93
b4c8c0b52049e4de,-54,91
dbde4e323567f381,-62,99
9a97a9cd9ac398de,-68,67
e2d0d77756858a3c,-42,84
58a45c9d5037a520,-61,80
917cd714e1103994,-49,63
0d5c5b6ed855dbbc,-59,43
a58db253434c6759,-61,93
fc337481622c4dc8,-57,84
9fcccaab3f956f66,-61,93
359da2e3798189c9,-55,90
b4c8c0b52049e4de,-53,91
4b528a07c6810670,-72,80
dbde4e323567f381,-75,99
9a97a9cd9ac398de,-72,67
e2d0d77756858a3c,-37,84
917cd714e1103994,-53,63
0d5c5b6ed855dbbc,-59,43
de81d543721249f6,-56,79
a58db253434c6759,-64,93
4af6994df3a900b9,-75,77
359da2e3798189c9,-47,90
