idEstimote,Battery,Rssi
4b528a07c6810670,-55,80
7eb3bed60a67f44d,-61,80
b4c8c0b52049e4de,-67,91
58a45c9d5037a520,-71,80
4af6994df3a900b9,-76,77
de81d543721249f6,-57,79
9a97a9cd9ac398de,-50,67
e2d0d77756858a3c,-56,84
a58db253434c6759,-53,93
9fcccaab3f956f66,-50,93
fc337481622c4dc8,-58,84
4b528a07c6810670,-51,80
7eb3bed60a67f44d,-58,80
b4c8c0b52049e4de,-64,91
dbde4e323567f381,-77,99
9a97a9cd9ac398de,-58,67
e2d0d77756858a3c,-60,84
a58db253434c6759,-55,93
9fcccaab3f956f66,-51,93
7eb3bed60a67f44d,-55,80
917cd714e1103994,-61,63
de81d543721249f6,-59,79
dbde4e323567f381,-75,99
359da2e3798189c9,-66,90
0d5c5b6ed855dbbc,-72,43
9a97a9cd9ac398de,-57,67
e2d0d77756858a3c,-58,84
a58db253434c6759,-39,93
fc337481622c4dc8,-55,84
4b528a07c6810670,-53,80
7eb3bed60a67f44d,-61,80
b4c8c0b52049e4de,-65,91
58a45c9d5037a520,-70,80
de81d543721249f6,-58,79
4af6994df3a900b9,-73,77
359da2e3798189c9,-62,90
9a97a9cd9ac398de,-50,67
e2d0d77756858a3c,-61,84
a58db253434c6759,-52,93
9fcccaab3f956f66,-48,93
4b528a07c6810670,-51,80
7eb3bed60a67f44d,-57,80
58a45c9d5037a520,-62,80
4af6994df3a900b9,-67,77
e2d0d77756858a3c,-59,84
a58db253434c6759,-39,93
9fcccaab3f956f66,-48,93
fc337481622c4dc8,-55,84
4b528a07c6810670,-54,80
7eb3bed60a67f44d,-61,80
917cd714e1103994,-58,63
b4c8c0b52049e4de,-67,91
58a45c9d5037a520,-70,80
de81d543721249f6,-59,79
4af6994df3a900b9,-62,77
a58db253434c6759,-39,93
fc337481622c4dc8,-47,84
4b528a07c6810670,-51,80
7eb3bed60a67f44d,-55,80
917cd714e1103994,-68,63
4af6994df3a900b9,-68,77
359da2e3798189c9,-65,90
9a97a9cd9ac398de,-56,67
e2d0d77756858a3c,-60,84
a58db253434c6759,-51,93
9fcccaab3f956f66,-46,93
4b528a07c6810670,-50,80
917cd714e1103994,-58,63
de81d543721249f6,-58,79
4af6994df3a900b9,-62,77
359da2e3798189c9,-68,90
