idEstimote,Battery,Rssi
7eb3bed60a67f44d,-54,80
0d5c5b6ed855dbbc,-65,43
8ce4d6e271cbcdec,-76,96
de81d543721249f6,-44,79
a58db253434c6759,-49,93
9a97a9cd9ac398de,-64,67
9fcccaab3f956f66,-50,93
359da2e3798189c9,-60,90
e2d0d77756858a3c,-55,84
917cd714e1103994,-48,63
4b528a07c6810670,-58,80
b4c8c0b52049e4de,-60,91
dbde4e323567f381,-68,99
58a45c9d5037a520,-57,80
0d5c5b6ed855dbbc,-68,43
de81d543721249f6,-49,79
4af6994df3a900b9,-71,77
a58db253434c6759,-46,93
9a97a9cd9ac398de,-67,67
9fcccaab3f956f66,-51,93
359da2e3798189c9,-60,90
917cd714e1103994,-56,63
4b528a07c6810670,-51,80
b4c8c0b52049e4de,-57,91
58a45c9d5037a520,-59,80
de81d543721249f6,-50,79
4af6994df3a900b9,-71,77
a58db253434c6759,-46,93
9a97a9cd9ac398de,-62,67
9fcccaab3f956f66,-51,93
359da2e3798189c9,-61,90
e2d0d77756858a3c,-74,84
917cd714e1103994,-49,63
4b528a07c6810670,-53,80
7eb3bed60a67f44d,-56,80
58a45c9d5037a520,-58,80
de81d543721249f6,-49,79
4af6994df3a900b9,-72,77
9fcccaab3f956f66,-50,93
359da2e3798189c9,-68,90
fc337481622c4dc8,-52,84
917cd714e1103994,-54,63
b4c8c0b52049e4de,-71,91
7eb3bed60a67f44d,-51,80
8ce4d6e271cbcdec,-82,96
4af6994df3a900b9,-74,77
a58db253434c6759,-46,93
9a97a9cd9ac398de,-63,67
9fcccaab3f956f66,-51,93
359da2e3798189c9,-60,90
fc337481622c4dc8,-54,84
917cd714e1103994,-58,63
4b528a07c6810670,-52,80
b4c8c0b52049e4de,-56,91
7eb3bed60a67f44d,-54,80
0d5c5b6ed855dbbc,-65,43
de81d543721249f6,-44,79
a58db253434c6759,-49,93
9a97a9cd9ac398de,-54,67
9fcccaab3f956f66,-53,93
fc337481622c4dc8,-52,84
917cd714e1103994,-53,63
4b528a07c6810670,-54,80
b4c8c0b52049e4de,-60,91
7eb3bed60a67f44d,-56,80
0d5c5b6ed855dbbc,-67,43
8ce4d6e271cbcdec,-79,96
de81d543721249f6,-50,79
4af6994df3a900b9,-69,77
a58db253434c6759,-50,93
e2d0d77756858a3c,-54,84
917cd714e1103994,-49,63
b4c8c0b52049e4de,-72,91
7eb3bed60a67f44d,-54,80
dbde4e323567f381,-64,99
58a45c9d5037a520,-57,80
0d5c5b6ed855dbbc,-69,43
de81d543721249f6,-49,79
4af6994df3a900b9,-69,77
a58db253434c6759,-49,93
9fcccaab3f956f66,-52,93
359da2e3798189c9,-60,90
e2d0d77756858a3c,-60,84
fc337481622c4dc8,-54,84
917cd714e1103994,-56,63
4b528a07c6810670,-50,80
b4c8c0b52049e4de,-56,91
58a45c9d5037a520,-65,80
0d5c5b6ed855dbbc,-66,43
8ce4d6e271cbcdec,-80,96
de81d543721249f6,-49,79
a58db253434c6759,-45,93
9a97a9cd9ac398de,-54,67
359da2e3798189c9,-60,90
e2d0d77756858a3c,-56,84
fc337481622c4dc8,-51,84
917cd714e1103994,-54,63
4b528a07c6810670,-53,80
b4c8c0b52049e4de,-57,91
7eb3bed60a67f44d,-54,80
dbde4e323567f381,-65,99
0d5c5b6ed855dbbc,-65,43
a58db253434c6759,-46,93
9a97a9cd9ac398de,-61,67
9fcccaab3f956f66,-49,93
359da2e3798189c9,-70,90
e2d0d77756858a3c,-76,84
fc337481622c4dc8,-52,84
917cd714e1103994,-57,63
4b528a07c6810670,-50,80
b4c8c0b52049e4de,-56,91
dbde4e323567f381,-64,99
7eb3bed60a67f44d,-55,80
0d5c5b6ed855dbbc,-65,43
4af6994df3a900b9,-73,77
9a97a9cd9ac398de,-54,67
72ea7a82e4a924fe,-81,76
9fcccaab3f956f66,-53,93
359da2e3798189c9,-63,90
917cd714e1103994,-56,63
b4c8c0b52049e4de,-61,91
7eb3bed60a67f44d,-52,80
0d5c5b6ed855dbbc,-66,43
a58db253434c6759,-49,93
4af6994df3a900b9,-72,77
9fcccaab3f956f66,-50,93
e2d0d77756858a3c,-72,84
fc337481622c4dc8,-52,84
b4c8c0b52049e4de,-70,91
dbde4e323567f381,-71,99
58a45c9d5037a520,-57,80
0d5c5b6ed855dbbc,-69,43
de81d543721249f6,-50,79
9a97a9cd9ac398de,-64,67
e2d0d77756858a3c,-55,84
4b528a07c6810670,-52,80
917cd714e1103994,-56,63
b4c8c0b52049e4de,-61,91
7eb3bed60a67f44d,-55,80
dbde4e323567f381,-68,99
58a45c9d5037a520,-69,80
0d5c5b6ed855dbbc,-68,43
8ce4d6e271cbcdec,-78,96
a58db253434c6759,-47,93
4af6994df3a900b9,-73,77
9a97a9cd9ac398de,-54,67
359da2e3798189c9,-68,90
e2d0d77756858a3c,-77,84
917cd714e1103994,-49,63
4b528a07c6810670,-50,80
b4c8c0b52049e4de,-56,91
58a45c9d5037a520,-59,80
0d5c5b6ed855dbbc,-66,43
de81d543721249f6,-50,79
a58db253434c6759,-46,93
4af6994df3a900b9,-73,77
9a97a9cd9ac398de,-64,67
359da2e3798189c9,-61,90
e2d0d77756858a3c,-74,84
fc337481622c4dc8,-51,84
917cd714e1103994,-53,63
4b528a07c6810670,-52,80
7eb3bed60a67f44d,-55,80
58a45c9d5037a520,-57,80
0d5c5b6ed855dbbc,-69,43
8ce4d6e271cbcdec,-79,96
a58db253434c6759,-49,93
4af6994df3a900b9,-74,77
9a97a9cd9ac398de,-54,67
9fcccaab3f956f66,-51,93
359da2e3798189c9,-61,90
e2d0d77756858a3c,-55,84
917cd714e1103994,-49,63
4b528a07c6810670,-58,80
7eb3bed60a67f44d,-57,80
dbde4e323567f381,-69,99
a58db253434c6759,-49,93
4af6994df3a900b9,-67,77
9a97a9cd9ac398de,-63,67
9fcccaab3f956f66,-49,93
359da2e3798189c9,-68,90
e2d0d77756858a3c,-78,84
fc337481622c4dc8,-52,84
4b528a07c6810670,-53,80
b4c8c0b52049e4de,-67,91
7eb3bed60a67f44d,-52,80
0d5c5b6ed855dbbc,-66,43
8ce4d6e271cbcdec,-78,96
a58db253434c6759,-49,93
de81d543721249f6,-50,79
4af6994df3a900b9,-69,77
9fcccaab3f956f66,-52,93
359da2e3798189c9,-60,90
e2d0d77756858a3c,-55,84
fc337481622c4dc8,-51,84
4b528a07c6810670,-50,80
b4c8c0b52049e4de,-56,91
7eb3bed60a67f44d,-55,80
8ce4d6e271cbcdec,-80,96
de81d543721249f6,-49,79
9fcccaab3f956f66,-49,93
e2d0d77756858a3c,-56,84
fc337481622c4dc8,-52,84
7eb3bed60a67f44d,-54,80
dbde4e323567f381,-70,99
0d5c5b6ed855dbbc,-69,43
a58db253434c6759,-50,93
de81d543721249f6,-49,79
9fcccaab3f956f66,-52,93
917cd714e1103994,-48,63
b4c8c0b52049e4de,-72,91
58a45c9d5037a520,-58,80
0d5c5b6ed855dbbc,-65,43
a58db253434c6759,-46,93
de81d543721249f6,-49,79
4af6994df3a900b9,-73,77
9a97a9cd9ac398de,-64,67
9fcccaab3f956f66,-49,93
359da2e3798189c9,-60,90
e2d0d77756858a3c,-60,84
917cd714e1103994,-54,63
4b528a07c6810670,-50,80
dbde4e323567f381,-67,99
de81d543721249f6,-50,79
a58db253434c6759,-46,93
4af6994df3a900b9,-70,77
9a97a9cd9ac398de,-54,67
359da2e3798189c9,-61,90
e2d0d77756858a3c,-55,84
917cd714e1103994,-49,63
4b528a07c6810670,-58,80
b4c8c0b52049e4de,-61,91
7eb3bed60a67f44d,-53,80
58a45c9d5037a520,-57,80
dbde4e323567f381,-68,99
0d5c5b6ed855dbbc,-70,43
a58db253434c6759,-51,93
9a97a9cd9ac398de,-67,67
fc337481622c4dc8,-55,84
e2d0d77756858a3c,-59,84
917cd714e1103994,-49,63
4b528a07c6810670,-51,80
7eb3bed60a67f44d,-54,80
58a45c9d5037a520,-57,80
0d5c5b6ed855dbbc,-69,43
a58db253434c6759,-46,93
