position,e2d0d77756858a3c,58a45c9d5037a520,359da2e3798189c9,b4c8c0b52049e4de,a58db253434c6759,9fcccaab3f956f66,4b528a07c6810670,fc337481622c4dc8,9a97a9cd9ac398de,7eb3bed60a67f44d
P10,-60.75,-65.65,-64.78,-64.71,-43.62,-55.07,-50.06,-54.69,-55.62,-57.3
P11,-51.4,-65.1,-58.0,-55.12,-49.55,-60.36,-50.89,-57.45,-52.71,-51.14
P12,-55.75,-64.0,-65.45,-60.29,-42.4,-51.58,-61.82,-50.27,-56.83,-54.82
P13,-65.92,-62.94,-71.33,-73.58,-44.93,-59.58,-51.8,-54.8,-61.5,-56.42
P14,-67.8,-68.0,-67.23,-67.6,-52.0,-55.79,-59.82,-42.13,-59.8,-67.27
P15,-69.17,-68.2,-71.08,-71.13,-53.26,-57.16,-53.8,-40.1,-65.07,-60.06
P16,-61.31,-73.5,-72.46,-66.83,-52.44,-53.88,-54.0,-54.08,-59.0,-60.6
P1,-54.93,-65.71,-53.5,-39.35,-62.43,-67.0,-60.21,-60.08,-56.9,-64.47
P2,-56.0,-59.11,-52.35,-47.53,-63.39,-61.85,-62.63,-61.75,-59.55,-60.9
P3,-47.24,-63.94,-46.0,-59.43,-61.08,-64.77,-65.44,-59.14,-69.47,-61.5
P4,-59.0,-49.44,-51.1,-63.06,-57.56,-62.18,-61.81,-55.67,-61.35,-58.88
P5,-54.0,-54.1,-47.5,-56.63,-59.11,-62.56,-66.4,-61.17,-62.53,-58.63
P6,-55.33,-60.06,-38.82,-59.2,-57.56,-60.93,-61.79,-55.25,-58.57,-61.94
P7,-58.21,-59.81,-51.05,-62.21,-55.27,-57.54,-60.53,-58.27,-68.07,-60.33
P8,-63.0,-59.17,-62.56,-61.71,-47.7,-50.75,-52.65,-52.33,-60.19,-54.18
P9,-62.28,-72.45,-61.73,-69.37,-49.17,-58.46,-57.28,-55.32,-56.31,-56.72
