idEstimote,Battery,Rssi
de81d543721249f6,-67,84
fc337481622c4dc8,-63,87
4b528a07c6810670,-52,85
a58db253434c6759,-53,98
9fcccaab3f956f66,-60,98
dbde4e323567f381,-59,100
de81d543721249f6,-60,84
4b528a07c6810670,-52,85
a58db253434c6759,-47,98
9fcccaab3f956f66,-58,98
e2d0d77756858a3c,-69,94
359da2e3798189c9,-62,100
dbde4e323567f381,-60,100
b4c8c0b52049e4de,-74,97
9a97a9cd9ac398de,-50,79
de81d543721249f6,-67,84
fc337481622c4dc8,-56,87
4b528a07c6810670,-55,85
7eb3bed60a67f44d,-57,85
a58db253434c6759,-50,98
9fcccaab3f956f66,-54,98
359da2e3798189c9,-61,100
dbde4e323567f381,-59,100
917cd714e1103994,-60,75
b4c8c0b52049e4de,-76,97
9a97a9cd9ac398de,-59,79
de81d543721249f6,-68,84
4b528a07c6810670,-58,85
a58db253434c6759,-47,98
e2d0d77756858a3c,-70,94
359da2e3798189c9,-59,100
dbde4e323567f381,-58,100
917cd714e1103994,-61,75
9a97a9cd9ac398de,-53,79
de81d543721249f6,-56,84
a58db253434c6759,-50,98
359da2e3798189c9,-74,100
0d5c5b6ed855dbbc,-69,47
9a97a9cd9ac398de,-50,79
de81d543721249f6,-67,84
4b528a07c6810670,-59,85
a58db253434c6759,-47,98
9fcccaab3f956f66,-63,98
e2d0d77756858a3c,-66,94
dbde4e323567f381,-59,100
0d5c5b6ed855dbbc,-69,47
9a97a9cd9ac398de,-53,79
de81d543721249f6,-56,84
fc337481622c4dc8,-52,87
4b528a07c6810670,-54,85
a58db253434c6759,-50,98
359da2e3798189c9,-59,100
917cd714e1103994,-75,75
9a97a9cd9ac398de,-50,79
4b528a07c6810670,-57,85
7eb3bed60a67f44d,-56,85
a58db253434c6759,-47,98
9fcccaab3f956f66,-53,98
359da2e3798189c9,-63,100
dbde4e323567f381,-58,100
0d5c5b6ed855dbbc,-73,47
9a97a9cd9ac398de,-58,79
de81d543721249f6,-56,84
4b528a07c6810670,-54,85
9fcccaab3f956f66,-54,98
917cd714e1103994,-60,75
9a97a9cd9ac398de,-50,79
de81d543721249f6,-60,84
4b528a07c6810670,-58,85
a58db253434c6759,-47,98
dbde4e323567f381,-59,100
917cd714e1103994,-67,75
0d5c5b6ed855dbbc,-68,47
4b528a07c6810670,-51,85
a58db253434c6759,-53,98
9fcccaab3f956f66,-58,98
359da2e3798189c9,-60,100
dbde4e323567f381,-60,100
9a97a9cd9ac398de,-53,79
fc337481622c4dc8,-51,87
4b528a07c6810670,-58,85
a58db253434c6759,-51,98
9fcccaab3f956f66,-59,98
359da2e3798189c9,-61,100
dbde4e323567f381,-58,100
0d5c5b6ed855dbbc,-73,47
4b528a07c6810670,-53,85
a58db253434c6759,-50,98
9fcccaab3f956f66,-60,98
359da2e3798189c9,-61,100
dbde4e323567f381,-60,100
0d5c5b6ed855dbbc,-60,47
9a97a9cd9ac398de,-53,79
de81d543721249f6,-60,84
fc337481622c4dc8,-61,87
4b528a07c6810670,-51,85
a58db253434c6759,-47,98
9fcccaab3f956f66,-52,98
359da2e3798189c9,-59,100
dbde4e323567f381,-59,100
0d5c5b6ed855dbbc,-72,47
de81d543721249f6,-60,84
4b528a07c6810670,-54,85
7eb3bed60a67f44d,-72,85
a58db253434c6759,-50,98
e2d0d77756858a3c,-79,94
9fcccaab3f956f66,-58,98
dbde4e323567f381,-61,100
9a97a9cd9ac398de,-50,79
de81d543721249f6,-56,84
4b528a07c6810670,-58,85
a58db253434c6759,-52,98
9fcccaab3f956f66,-59,98
dbde4e323567f381,-57,100
917cd714e1103994,-61,75
fc337481622c4dc8,-51,87
4b528a07c6810670,-54,85
a58db253434c6759,-53,98
dbde4e323567f381,-60,100
359da2e3798189c9,-71,100
fc337481622c4dc8,-55,87
7eb3bed60a67f44d,-56,85
a58db253434c6759,-50,98
9fcccaab3f956f66,-61,98
dbde4e323567f381,-58,100
0d5c5b6ed855dbbc,-62,47
de81d543721249f6,-67,84
4b528a07c6810670,-51,85
a58db253434c6759,-47,98
e2d0d77756858a3c,-66,94
dbde4e323567f381,-60,100
9fcccaab3f956f66,-54,98
b4c8c0b52049e4de,-77,97
4b528a07c6810670,-58,85
a58db253434c6759,-50,98
dbde4e323567f381,-60,100
917cd714e1103994,-67,75
0d5c5b6ed855dbbc,-67,47
9a97a9cd9ac398de,-53,79
fc337481622c4dc8,-57,87
4b528a07c6810670,-51,85
a58db253434c6759,-47,98
dbde4e323567f381,-59,100
9fcccaab3f956f66,-57,98
9a97a9cd9ac398de,-58,79
de81d543721249f6,-60,84
7eb3bed60a67f44d,-65,85
a58db253434c6759,-52,98
b4c8c0b52049e4de,-76,97
9a97a9cd9ac398de,-54,79
de81d543721249f6,-56,84
fc337481622c4dc8,-62,87
4b528a07c6810670,-57,85
a58db253434c6759,-47,98
9fcccaab3f956f66,-57,98
dbde4e323567f381,-58,100
359da2e3798189c9,-60,100
917cd714e1103994,-68,75
9a97a9cd9ac398de,-50,79
de81d543721249f6,-64,84
fc337481622c4dc8,-62,87
4b528a07c6810670,-51,85
7eb3bed60a67f44d,-69,85
a58db253434c6759,-52,98
dbde4e323567f381,-60,100
9fcccaab3f956f66,-60,98
9a97a9cd9ac398de,-53,79
de81d543721249f6,-61,84
fc337481622c4dc8,-62,87
4b528a07c6810670,-53,85
7eb3bed60a67f44d,-57,85
a58db253434c6759,-46,98
dbde4e323567f381,-59,100
917cd714e1103994,-61,75
de81d543721249f6,-67,84
4b528a07c6810670,-58,85
7eb3bed60a67f44d,-68,85
a58db253434c6759,-54,98
