idEstimote,Battery,Rssi
fc337481622c4dc8,-69,87
4b528a07c6810670,-59,85
359da2e3798189c9,-69,100
9fcccaab3f956f66,-48,98
9a97a9cd9ac398de,-65,79
fc337481622c4dc8,-66,87
7eb3bed60a67f44d,-75,85
359da2e3798189c9,-58,100
0d5c5b6ed855dbbc,-60,47
dbde4e323567f381,-55,100
9fcccaab3f956f66,-58,98
9a97a9cd9ac398de,-47,79
de81d543721249f6,-62,84
fc337481622c4dc8,-53,87
4b528a07c6810670,-46,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-52,98
359da2e3798189c9,-58,100
9fcccaab3f956f66,-69,98
917cd714e1103994,-59,75
9a97a9cd9ac398de,-48,79
de81d543721249f6,-43,84
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-52,98
359da2e3798189c9,-54,100
0d5c5b6ed855dbbc,-60,47
9a97a9cd9ac398de,-55,79
b4c8c0b52049e4de,-53,97
917cd714e1103994,-59,75
de81d543721249f6,-60,84
fc337481622c4dc8,-47,87
4b528a07c6810670,-45,85
7eb3bed60a67f44d,-58,85
a58db253434c6759,-51,98
0d5c5b6ed855dbbc,-55,47
9fcccaab3f956f66,-55,98
dbde4e323567f381,-55,100
b4c8c0b52049e4de,-60,97
917cd714e1103994,-60,75
de81d543721249f6,-43,84
fc337481622c4dc8,-54,87
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-60,85
e2d0d77756858a3c,-55,94
359da2e3798189c9,-56,100
9fcccaab3f956f66,-60,98
fc337481622c4dc8,-53,87
4b528a07c6810670,-47,85
7eb3bed60a67f44d,-51,85
a58db253434c6759,-51,98
e2d0d77756858a3c,-67,94
9fcccaab3f956f66,-56,98
9a97a9cd9ac398de,-48,79
de81d543721249f6,-61,84
fc337481622c4dc8,-47,87
4b528a07c6810670,-45,85
7eb3bed60a67f44d,-51,85
e2d0d77756858a3c,-67,94
359da2e3798189c9,-56,100
9fcccaab3f956f66,-52,98
dbde4e323567f381,-55,100
917cd714e1103994,-58,75
de81d543721249f6,-59,84
fc337481622c4dc8,-53,87
4b528a07c6810670,-43,85
7eb3bed60a67f44d,-52,85
a58db253434c6759,-52,98
0d5c5b6ed855dbbc,-74,47
359da2e3798189c9,-57,100
dbde4e323567f381,-54,100
de81d543721249f6,-43,84
fc337481622c4dc8,-47,87
7eb3bed60a67f44d,-58,85
a58db253434c6759,-50,98
359da2e3798189c9,-57,100
9fcccaab3f956f66,-48,98
dbde4e323567f381,-55,100
de81d543721249f6,-58,84
fc337481622c4dc8,-54,87
4b528a07c6810670,-43,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-52,98
e2d0d77756858a3c,-70,94
dbde4e323567f381,-55,100
917cd714e1103994,-57,75
9a97a9cd9ac398de,-48,79
fc337481622c4dc8,-47,87
4b528a07c6810670,-46,85
a58db253434c6759,-49,98
0d5c5b6ed855dbbc,-55,47
e2d0d77756858a3c,-55,94
9fcccaab3f956f66,-47,98
b4c8c0b52049e4de,-53,97
de81d543721249f6,-59,84
fc337481622c4dc8,-53,87
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-51,85
a58db253434c6759,-52,98
0d5c5b6ed855dbbc,-74,47
359da2e3798189c9,-55,100
e2d0d77756858a3c,-54,94
917cd714e1103994,-57,75
de81d543721249f6,-59,84
4b528a07c6810670,-52,85
a58db253434c6759,-51,98
0d5c5b6ed855dbbc,-54,47
9fcccaab3f956f66,-48,98
9a97a9cd9ac398de,-50,79
fc337481622c4dc8,-53,87
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-63,85
a58db253434c6759,-53,98
dbde4e323567f381,-54,100
9a97a9cd9ac398de,-49,79
fc337481622c4dc8,-47,87
4b528a07c6810670,-52,85
e2d0d77756858a3c,-55,94
359da2e3798189c9,-57,100
9a97a9cd9ac398de,-57,79
fc337481622c4dc8,-53,87
4b528a07c6810670,-46,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-54,98
359da2e3798189c9,-57,100
e2d0d77756858a3c,-54,94
9fcccaab3f956f66,-48,98
9a97a9cd9ac398de,-48,79
a58db253434c6759,-52,98
0d5c5b6ed855dbbc,-60,47
359da2e3798189c9,-54,100
9fcccaab3f956f66,-56,98
917cd714e1103994,-57,75
b4c8c0b52049e4de,-58,97
9a97a9cd9ac398de,-49,79
de81d543721249f6,-60,84
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-51,85
a58db253434c6759,-52,98
0d5c5b6ed855dbbc,-52,47
359da2e3798189c9,-55,100
e2d0d77756858a3c,-52,94
9fcccaab3f956f66,-47,98
fc337481622c4dc8,-53,87
4b528a07c6810670,-44,85
7eb3bed60a67f44d,-59,85
359da2e3798189c9,-57,100
9fcccaab3f956f66,-46,98
b4c8c0b52049e4de,-52,97
dbde4e323567f381,-55,100
9a97a9cd9ac398de,-48,79
de81d543721249f6,-58,84
fc337481622c4dc8,-54,87
4b528a07c6810670,-43,85
7eb3bed60a67f44d,-50,85
917cd714e1103994,-58,75
dbde4e323567f381,-53,100
b4c8c0b52049e4de,-52,97
9a97a9cd9ac398de,-48,79
de81d543721249f6,-60,84
fc337481622c4dc8,-48,87
7eb3bed60a67f44d,-50,85
359da2e3798189c9,-53,100
9fcccaab3f956f66,-55,98
917cd714e1103994,-60,75
b4c8c0b52049e4de,-53,97
9a97a9cd9ac398de,-49,79
de81d543721249f6,-58,84
fc337481622c4dc8,-54,87
4b528a07c6810670,-47,85
7eb3bed60a67f44d,-60,85
a58db253434c6759,-49,98
e2d0d77756858a3c,-59,94
359da2e3798189c9,-56,100
917cd714e1103994,-56,75
9a97a9cd9ac398de,-58,79
4b528a07c6810670,-52,85
a58db253434c6759,-55,98
e2d0d77756858a3c,-64,94
9fcccaab3f956f66,-47,98
b4c8c0b52049e4de,-58,97
9a97a9cd9ac398de,-48,79
de81d543721249f6,-60,84
fc337481622c4dc8,-48,87
4b528a07c6810670,-46,85
7eb3bed60a67f44d,-60,85
a58db253434c6759,-50,98
0d5c5b6ed855dbbc,-54,47
e2d0d77756858a3c,-58,94
359da2e3798189c9,-54,100
917cd714e1103994,-57,75
b4c8c0b52049e4de,-53,97
9a97a9cd9ac398de,-60,79
de81d543721249f6,-43,84
fc337481622c4dc8,-52,87
4b528a07c6810670,-43,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-52,98
e2d0d77756858a3c,-59,94
359da2e3798189c9,-57,100
b4c8c0b52049e4de,-52,97
9a97a9cd9ac398de,-49,79
de81d543721249f6,-60,84
fc337481622c4dc8,-47,87
4b528a07c6810670,-47,85
a58db253434c6759,-55,98
0d5c5b6ed855dbbc,-56,47
917cd714e1103994,-59,75
9fcccaab3f956f66,-53,98
b4c8c0b52049e4de,-60,97
de81d543721249f6,-57,84
fc337481622c4dc8,-55,87
4b528a07c6810670,-45,85
7eb3bed60a67f44d,-53,85
a58db253434c6759,-56,98
0d5c5b6ed855dbbc,-60,47
9fcccaab3f956f66,-46,98
917cd714e1103994,-62,75
dbde4e323567f381,-55,100
de81d543721249f6,-60,84
fc337481622c4dc8,-47,87
4b528a07c6810670,-52,85
