idEstimote,Battery,Rssi
de81d543721249f6,-60,84
fc337481622c4dc8,-55,87
4b528a07c6810670,-45,85
a58db253434c6759,-51,98
359da2e3798189c9,-55,100
0d5c5b6ed855dbbc,-56,47
917cd714e1103994,-64,75
dbde4e323567f381,-54,100
9a97a9cd9ac398de,-57,79
de81d543721249f6,-43,84
fc337481622c4dc8,-54,87
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-54,85
a58db253434c6759,-52,98
359da2e3798189c9,-53,100
e2d0d77756858a3c,-55,94
0d5c5b6ed855dbbc,-62,47
9fcccaab3f956f66,-47,98
b4c8c0b52049e4de,-58,97
9a97a9cd9ac398de,-48,79
de81d543721249f6,-57,84
fc337481622c4dc8,-47,87
7eb3bed60a67f44d,-50,85
a58db253434c6759,-55,98
359da2e3798189c9,-55,100
e2d0d77756858a3c,-61,94
9fcccaab3f956f66,-56,98
dbde4e323567f381,-53,100
de81d543721249f6,-58,84
fc337481622c4dc8,-55,87
7eb3bed60a67f44d,-53,85
a58db253434c6759,-54,98
e2d0d77756858a3c,-55,94
0d5c5b6ed855dbbc,-55,47
9fcccaab3f956f66,-46,98
dbde4e323567f381,-55,100
9a97a9cd9ac398de,-49,79
fc337481622c4dc8,-48,87
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-49,98
359da2e3798189c9,-58,100
e2d0d77756858a3c,-55,94
9fcccaab3f956f66,-54,98
dbde4e323567f381,-54,100
9a97a9cd9ac398de,-57,79
fc337481622c4dc8,-55,87
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-59,85
a58db253434c6759,-44,98
0d5c5b6ed855dbbc,-54,47
e2d0d77756858a3c,-55,94
9fcccaab3f956f66,-48,98
dbde4e323567f381,-54,100
b4c8c0b52049e4de,-60,97
de81d543721249f6,-42,84
fc337481622c4dc8,-48,87
4b528a07c6810670,-47,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-45,98
e2d0d77756858a3c,-55,94
0d5c5b6ed855dbbc,-61,47
9fcccaab3f956f66,-54,98
359da2e3798189c9,-57,100
e2d0d77756858a3c,-58,94
917cd714e1103994,-58,75
9fcccaab3f956f66,-47,98
dbde4e323567f381,-60,100
b4c8c0b52049e4de,-55,97
de81d543721249f6,-59,84
fc337481622c4dc8,-47,87
a58db253434c6759,-54,98
359da2e3798189c9,-58,100
e2d0d77756858a3c,-65,94
b4c8c0b52049e4de,-53,97
dbde4e323567f381,-56,100
de81d543721249f6,-43,84
7eb3bed60a67f44d,-61,85
0d5c5b6ed855dbbc,-57,47
e2d0d77756858a3c,-55,94
9a97a9cd9ac398de,-48,79
fc337481622c4dc8,-66,87
4b528a07c6810670,-63,85
a58db253434c6759,-48,98
0d5c5b6ed855dbbc,-80,47
9fcccaab3f956f66,-49,98
dbde4e323567f381,-71,100
9a97a9cd9ac398de,-65,79
de81d543721249f6,-78,84
fc337481622c4dc8,-71,87
4b528a07c6810670,-50,85
7eb3bed60a67f44d,-66,85
a58db253434c6759,-79,98
e2d0d77756858a3c,-81,94
9fcccaab3f956f66,-53,98
dbde4e323567f381,-72,100
de81d543721249f6,-74,84
fc337481622c4dc8,-69,87
4b528a07c6810670,-59,85
7eb3bed60a67f44d,-71,85
a58db253434c6759,-56,98
0d5c5b6ed855dbbc,-55,47
917cd714e1103994,-75,75
b4c8c0b52049e4de,-52,97
dbde4e323567f381,-55,100
9a97a9cd9ac398de,-48,79
de81d543721249f6,-43,84
7eb3bed60a67f44d,-59,85
a58db253434c6759,-49,98
0d5c5b6ed855dbbc,-74,47
e2d0d77756858a3c,-58,94
b4c8c0b52049e4de,-66,97
9a97a9cd9ac398de,-56,79
fc337481622c4dc8,-48,87
4af6994df3a900b9,-81,83
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-52,85
359da2e3798189c9,-53,100
e2d0d77756858a3c,-58,94
b4c8c0b52049e4de,-66,97
9a97a9cd9ac398de,-49,79
de81d543721249f6,-58,84
fc337481622c4dc8,-53,87
4af6994df3a900b9,-77,83
4b528a07c6810670,-45,85
7eb3bed60a67f44d,-61,85
a58db253434c6759,-50,98
359da2e3798189c9,-58,100
0d5c5b6ed855dbbc,-55,47
9fcccaab3f956f66,-48,98
dbde4e323567f381,-56,100
9a97a9cd9ac398de,-58,79
917cd714e1103994,-59,75
fc337481622c4dc8,-47,87
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-50,85
a58db253434c6759,-56,98
359da2e3798189c9,-55,100
e2d0d77756858a3c,-63,94
9fcccaab3f956f66,-47,98
dbde4e323567f381,-54,100
de81d543721249f6,-61,84
fc337481622c4dc8,-53,87
4b528a07c6810670,-42,85
a58db253434c6759,-50,98
359da2e3798189c9,-55,100
0d5c5b6ed855dbbc,-58,47
917cd714e1103994,-59,75
9fcccaab3f956f66,-52,98
dbde4e323567f381,-59,100
9a97a9cd9ac398de,-48,79
de81d543721249f6,-43,84
fc337481622c4dc8,-53,87
