idEstimote,Battery,Rssi
fc337481622c4dc8,-51,87
dbde4e323567f381,-52,100
359da2e3798189c9,-56,100
9fcccaab3f956f66,-62,98
de81d543721249f6,-45,84
e2d0d77756858a3c,-57,94
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-37,85
917cd714e1103994,-45,75
a58db253434c6759,-44,98
0d5c5b6ed855dbbc,-62,47
dbde4e323567f381,-57,100
359da2e3798189c9,-60,100
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-38,85
a58db253434c6759,-45,98
fc337481622c4dc8,-51,87
0d5c5b6ed855dbbc,-52,47
dbde4e323567f381,-53,100
9fcccaab3f956f66,-49,98
359da2e3798189c9,-62,100
de81d543721249f6,-55,84
4b528a07c6810670,-41,85
7eb3bed60a67f44d,-36,85
917cd714e1103994,-51,75
a58db253434c6759,-50,98
9a97a9cd9ac398de,-54,79
0d5c5b6ed855dbbc,-62,47
dbde4e323567f381,-52,100
9fcccaab3f956f66,-52,98
359da2e3798189c9,-59,100
de81d543721249f6,-46,84
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-38,85
917cd714e1103994,-51,75
a58db253434c6759,-46,98
9a97a9cd9ac398de,-54,79
fc337481622c4dc8,-57,87
0d5c5b6ed855dbbc,-52,47
b4c8c0b52049e4de,-67,97
dbde4e323567f381,-52,100
359da2e3798189c9,-59,100
de81d543721249f6,-54,84
4af6994df3a900b9,-82,83
7eb3bed60a67f44d,-41,85
4b528a07c6810670,-52,85
917cd714e1103994,-46,75
a58db253434c6759,-44,98
9a97a9cd9ac398de,-43,79
fc337481622c4dc8,-47,87
0d5c5b6ed855dbbc,-67,47
dbde4e323567f381,-52,100
de81d543721249f6,-46,84
e2d0d77756858a3c,-62,94
4b528a07c6810670,-42,85
9a97a9cd9ac398de,-53,79
0d5c5b6ed855dbbc,-63,47
de81d543721249f6,-46,84
e2d0d77756858a3c,-61,94
7eb3bed60a67f44d,-36,85
4b528a07c6810670,-42,85
917cd714e1103994,-65,75
9a97a9cd9ac398de,-44,79
fc337481622c4dc8,-56,87
359da2e3798189c9,-58,100
de81d543721249f6,-54,84
7eb3bed60a67f44d,-36,85
4b528a07c6810670,-54,85
a58db253434c6759,-44,98
fc337481622c4dc8,-51,87
0d5c5b6ed855dbbc,-52,47
dbde4e323567f381,-53,100
359da2e3798189c9,-56,100
e2d0d77756858a3c,-61,94
7eb3bed60a67f44d,-42,85
4b528a07c6810670,-42,85
917cd714e1103994,-59,75
a58db253434c6759,-44,98
9a97a9cd9ac398de,-43,79
fc337481622c4dc8,-49,87
0d5c5b6ed855dbbc,-63,47
dbde4e323567f381,-56,100
359da2e3798189c9,-59,100
de81d543721249f6,-54,84
e2d0d77756858a3c,-56,94
7eb3bed60a67f44d,-38,85
917cd714e1103994,-51,75
a58db253434c6759,-50,98
9a97a9cd9ac398de,-43,79
fc337481622c4dc8,-52,87
dbde4e323567f381,-51,100
359da2e3798189c9,-56,100
e2d0d77756858a3c,-57,94
7eb3bed60a67f44d,-36,85
4b528a07c6810670,-42,85
fc337481622c4dc8,-47,87
0d5c5b6ed855dbbc,-64,47
9fcccaab3f956f66,-59,98
dbde4e323567f381,-57,100
359da2e3798189c9,-58,100
e2d0d77756858a3c,-56,94
7eb3bed60a67f44d,-43,85
4b528a07c6810670,-42,85
9a97a9cd9ac398de,-44,79
fc337481622c4dc8,-58,87
0d5c5b6ed855dbbc,-52,47
dbde4e323567f381,-62,100
359da2e3798189c9,-56,100
de81d543721249f6,-47,84
e2d0d77756858a3c,-61,94
4b528a07c6810670,-53,85
a58db253434c6759,-50,98
fc337481622c4dc8,-47,87
9fcccaab3f956f66,-63,98
dbde4e323567f381,-51,100
e2d0d77756858a3c,-57,94
7eb3bed60a67f44d,-36,85
4b528a07c6810670,-42,85
917cd714e1103994,-69,75
a58db253434c6759,-45,98
fc337481622c4dc8,-56,87
0d5c5b6ed855dbbc,-64,47
dbde4e323567f381,-52,100
e2d0d77756858a3c,-61,94
7eb3bed60a67f44d,-36,85
917cd714e1103994,-51,75
9a97a9cd9ac398de,-54,79
a58db253434c6759,-46,98
fc337481622c4dc8,-47,87
0d5c5b6ed855dbbc,-64,47
dbde4e323567f381,-51,100
e2d0d77756858a3c,-67,94
7eb3bed60a67f44d,-36,85
4b528a07c6810670,-52,85
9a97a9cd9ac398de,-55,79
917cd714e1103994,-61,75
a58db253434c6759,-45,98
9fcccaab3f956f66,-53,98
359da2e3798189c9,-59,100
de81d543721249f6,-50,84
7eb3bed60a67f44d,-41,85
4b528a07c6810670,-42,85
917cd714e1103994,-66,75
a58db253434c6759,-49,98
fc337481622c4dc8,-57,87
0d5c5b6ed855dbbc,-63,47
dbde4e323567f381,-53,100
359da2e3798189c9,-57,100
de81d543721249f6,-47,84
e2d0d77756858a3c,-65,94
4b528a07c6810670,-52,85
a58db253434c6759,-46,98
9a97a9cd9ac398de,-54,79
fc337481622c4dc8,-51,87
9fcccaab3f956f66,-56,98
dbde4e323567f381,-51,100
359da2e3798189c9,-58,100
de81d543721249f6,-54,84
e2d0d77756858a3c,-58,94
7eb3bed60a67f44d,-36,85
4b528a07c6810670,-52,85
a58db253434c6759,-46,98
917cd714e1103994,-61,75
9a97a9cd9ac398de,-55,79
0d5c5b6ed855dbbc,-63,47
b4c8c0b52049e4de,-69,97
dbde4e323567f381,-56,100
359da2e3798189c9,-59,100
e2d0d77756858a3c,-61,94
7eb3bed60a67f44d,-36,85
a58db253434c6759,-50,98
917cd714e1103994,-51,75
9fcccaab3f956f66,-52,98
dbde4e323567f381,-52,100
359da2e3798189c9,-57,100
de81d543721249f6,-54,84
4b528a07c6810670,-53,85
7eb3bed60a67f44d,-38,85
a58db253434c6759,-45,98
917cd714e1103994,-46,75
dbde4e323567f381,-51,100
