idEstimote,Battery,Rssi
917cd714e1103994,-62,75
4b528a07c6810670,-50,85
9fcccaab3f956f66,-46,98
fc337481622c4dc8,-47,87
e2d0d77756858a3c,-52,94
9a97a9cd9ac398de,-53,79
b4c8c0b52049e4de,-59,97
de81d543721249f6,-47,84
4b528a07c6810670,-48,85
7eb3bed60a67f44d,-54,85
a58db253434c6759,-52,98
9fcccaab3f956f66,-43,98
359da2e3798189c9,-63,100
e2d0d77756858a3c,-52,94
9a97a9cd9ac398de,-52,79
0d5c5b6ed855dbbc,-61,47
de81d543721249f6,-46,84
dbde4e323567f381,-73,100
4b528a07c6810670,-48,85
a58db253434c6759,-45,98
9fcccaab3f956f66,-45,98
359da2e3798189c9,-67,100
fc337481622c4dc8,-50,87
e2d0d77756858a3c,-53,94
0d5c5b6ed855dbbc,-68,47
b4c8c0b52049e4de,-59,97
917cd714e1103994,-66,75
a58db253434c6759,-45,98
7eb3bed60a67f44d,-54,85
9fcccaab3f956f66,-53,98
359da2e3798189c9,-58,100
fc337481622c4dc8,-47,87
e2d0d77756858a3c,-53,94
9a97a9cd9ac398de,-56,79
0d5c5b6ed855dbbc,-65,47
b4c8c0b52049e4de,-61,97
de81d543721249f6,-45,84
dbde4e323567f381,-64,100
917cd714e1103994,-70,75
a58db253434c6759,-52,98
7eb3bed60a67f44d,-53,85
9fcccaab3f956f66,-53,98
359da2e3798189c9,-63,100
fc337481622c4dc8,-47,87
9a97a9cd9ac398de,-63,79
0d5c5b6ed855dbbc,-62,47
b4c8c0b52049e4de,-63,97
de81d543721249f6,-54,84
dbde4e323567f381,-58,100
917cd714e1103994,-70,75
7eb3bed60a67f44d,-62,85
9fcccaab3f956f66,-56,98
359da2e3798189c9,-57,100
fc337481622c4dc8,-47,87
e2d0d77756858a3c,-53,94
9a97a9cd9ac398de,-56,79
0d5c5b6ed855dbbc,-61,47
b4c8c0b52049e4de,-61,97
de81d543721249f6,-46,84
dbde4e323567f381,-74,100
917cd714e1103994,-70,75
a58db253434c6759,-51,98
9fcccaab3f956f66,-46,98
e2d0d77756858a3c,-54,94
9a97a9cd9ac398de,-55,79
0d5c5b6ed855dbbc,-61,47
de81d543721249f6,-58,84
917cd714e1103994,-69,75
4b528a07c6810670,-50,85
7eb3bed60a67f44d,-64,85
9fcccaab3f956f66,-44,98
fc337481622c4dc8,-51,87
e2d0d77756858a3c,-53,94
0d5c5b6ed855dbbc,-62,47
b4c8c0b52049e4de,-62,97
de81d543721249f6,-48,84
dbde4e323567f381,-64,100
917cd714e1103994,-66,75
a58db253434c6759,-47,98
7eb3bed60a67f44d,-60,85
359da2e3798189c9,-68,100
fc337481622c4dc8,-47,87
9a97a9cd9ac398de,-56,79
b4c8c0b52049e4de,-80,97
dbde4e323567f381,-63,100
917cd714e1103994,-53,75
4b528a07c6810670,-49,85
a58db253434c6759,-44,98
7eb3bed60a67f44d,-62,85
9fcccaab3f956f66,-44,98
359da2e3798189c9,-57,100
9a97a9cd9ac398de,-54,79
0d5c5b6ed855dbbc,-61,47
de81d543721249f6,-55,84
dbde4e323567f381,-72,100
917cd714e1103994,-54,75
7eb3bed60a67f44d,-52,85
9fcccaab3f956f66,-44,98
359da2e3798189c9,-59,100
e2d0d77756858a3c,-55,94
9a97a9cd9ac398de,-55,79
0d5c5b6ed855dbbc,-69,47
b4c8c0b52049e4de,-62,97
de81d543721249f6,-47,84
dbde4e323567f381,-64,100
917cd714e1103994,-61,75
a58db253434c6759,-46,98
7eb3bed60a67f44d,-53,85
9fcccaab3f956f66,-43,98
359da2e3798189c9,-68,100
fc337481622c4dc8,-58,87
9a97a9cd9ac398de,-55,79
0d5c5b6ed855dbbc,-61,47
b4c8c0b52049e4de,-60,97
de81d543721249f6,-58,84
dbde4e323567f381,-58,100
917cd714e1103994,-53,75
4b528a07c6810670,-48,85
a58db253434c6759,-50,98
7eb3bed60a67f44d,-52,85
9fcccaab3f956f66,-45,98
9a97a9cd9ac398de,-62,79
0d5c5b6ed855dbbc,-62,47
b4c8c0b52049e4de,-72,97
dbde4e323567f381,-65,100
917cd714e1103994,-59,75
4b528a07c6810670,-48,85
7eb3bed60a67f44d,-59,85
359da2e3798189c9,-62,100
fc337481622c4dc8,-48,87
e2d0d77756858a3c,-64,94
9a97a9cd9ac398de,-61,79
0d5c5b6ed855dbbc,-65,47
de81d543721249f6,-54,84
917cd714e1103994,-61,75
4b528a07c6810670,-49,85
a58db253434c6759,-52,98
9fcccaab3f956f66,-46,98
359da2e3798189c9,-57,100
e2d0d77756858a3c,-63,94
9a97a9cd9ac398de,-52,79
0d5c5b6ed855dbbc,-67,47
de81d543721249f6,-46,84
dbde4e323567f381,-61,100
917cd714e1103994,-71,75
4b528a07c6810670,-56,85
9fcccaab3f956f66,-64,98
7eb3bed60a67f44d,-53,85
fc337481622c4dc8,-48,87
9a97a9cd9ac398de,-72,79
0d5c5b6ed855dbbc,-77,47
dbde4e323567f381,-81,100
4b528a07c6810670,-65,85
a58db253434c6759,-44,98
9fcccaab3f956f66,-61,98
359da2e3798189c9,-77,100
e2d0d77756858a3c,-70,94
9a97a9cd9ac398de,-71,79
0d5c5b6ed855dbbc,-62,47
b4c8c0b52049e4de,-88,97
de81d543721249f6,-71,84
917cd714e1103994,-80,75
4b528a07c6810670,-74,85
a58db253434c6759,-54,98
9fcccaab3f956f66,-60,98
7eb3bed60a67f44d,-71,85
359da2e3798189c9,-77,100
fc337481622c4dc8,-65,87
9a97a9cd9ac398de,-74,79
de81d543721249f6,-63,84
dbde4e323567f381,-76,100
4b528a07c6810670,-48,85
a58db253434c6759,-44,98
7eb3bed60a67f44d,-53,85
359da2e3798189c9,-57,100
e2d0d77756858a3c,-55,94
9a97a9cd9ac398de,-53,79
0d5c5b6ed855dbbc,-61,47
de81d543721249f6,-52,84
917cd714e1103994,-59,75
4b528a07c6810670,-56,85
a58db253434c6759,-52,98
9fcccaab3f956f66,-58,98
7eb3bed60a67f44d,-52,85
359da2e3798189c9,-62,100
fc337481622c4dc8,-50,87
e2d0d77756858a3c,-55,94
9a97a9cd9ac398de,-61,79
0d5c5b6ed855dbbc,-61,47
b4c8c0b52049e4de,-60,97
de81d543721249f6,-46,84
dbde4e323567f381,-57,100
917cd714e1103994,-62,75
4b528a07c6810670,-50,85
a58db253434c6759,-44,98
9fcccaab3f956f66,-43,98
7eb3bed60a67f44d,-53,85
359da2e3798189c9,-63,100
fc337481622c4dc8,-49,87
9a97a9cd9ac398de,-59,79
0d5c5b6ed855dbbc,-59,47
b4c8c0b52049e4de,-59,97
de81d543721249f6,-55,84
dbde4e323567f381,-56,100
4b528a07c6810670,-57,85
9fcccaab3f956f66,-67,98
359da2e3798189c9,-56,100
e2d0d77756858a3c,-53,94
9a97a9cd9ac398de,-52,79
0d5c5b6ed855dbbc,-60,47
b4c8c0b52049e4de,-62,97
4b528a07c6810670,-49,85
a58db253434c6759,-44,98
e2d0d77756858a3c,-53,94
fc337481622c4dc8,-52,87
