idEstimote,Battery,Rssi
dbde4e323567f381,-59,100
9fcccaab3f956f66,-57,98
9a97a9cd9ac398de,-50,79
de81d543721249f6,-57,84
4b528a07c6810670,-54,85
a58db253434c6759,-47,98
dbde4e323567f381,-58,100
9a97a9cd9ac398de,-52,79
de81d543721249f6,-57,84
a58db253434c6759,-51,98
9fcccaab3f956f66,-58,98
917cd714e1103994,-60,75
de81d543721249f6,-61,84
4b528a07c6810670,-52,85
a58db253434c6759,-52,98
e2d0d77756858a3c,-67,94
dbde4e323567f381,-60,100
9fcccaab3f956f66,-56,98
de81d543721249f6,-61,84
4b528a07c6810670,-54,85
a58db253434c6759,-47,98
dbde4e323567f381,-59,100
359da2e3798189c9,-61,100
0d5c5b6ed855dbbc,-64,47
917cd714e1103994,-61,75
9a97a9cd9ac398de,-59,79
de81d543721249f6,-56,84
a58db253434c6759,-50,98
dbde4e323567f381,-58,100
9fcccaab3f956f66,-57,98
9a97a9cd9ac398de,-51,79
de81d543721249f6,-62,84
fc337481622c4dc8,-61,87
4b528a07c6810670,-52,85
dbde4e323567f381,-60,100
9fcccaab3f956f66,-58,98
359da2e3798189c9,-60,100
0d5c5b6ed855dbbc,-63,47
917cd714e1103994,-63,75
9a97a9cd9ac398de,-56,79
de81d543721249f6,-56,84
fc337481622c4dc8,-51,87
4b528a07c6810670,-51,85
7eb3bed60a67f44d,-64,85
a58db253434c6759,-52,98
dbde4e323567f381,-60,100
9fcccaab3f956f66,-61,98
359da2e3798189c9,-59,100
917cd714e1103994,-70,75
de81d543721249f6,-67,84
fc337481622c4dc8,-57,87
4b528a07c6810670,-58,85
a58db253434c6759,-50,98
dbde4e323567f381,-59,100
9fcccaab3f956f66,-60,98
0d5c5b6ed855dbbc,-62,47
9a97a9cd9ac398de,-51,79
de81d543721249f6,-62,84
fc337481622c4dc8,-56,87
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-67,85
a58db253434c6759,-50,98
e2d0d77756858a3c,-80,94
dbde4e323567f381,-58,100
9fcccaab3f956f66,-58,98
0d5c5b6ed855dbbc,-69,47
917cd714e1103994,-61,75
9a97a9cd9ac398de,-58,79
fc337481622c4dc8,-52,87
4b528a07c6810670,-57,85
7eb3bed60a67f44d,-64,85
a58db253434c6759,-48,98
9fcccaab3f956f66,-58,98
0d5c5b6ed855dbbc,-62,47
9a97a9cd9ac398de,-51,79
de81d543721249f6,-55,84
fc337481622c4dc8,-62,87
4b528a07c6810670,-51,85
7eb3bed60a67f44d,-68,85
a58db253434c6759,-53,98
9fcccaab3f956f66,-57,98
dbde4e323567f381,-59,100
359da2e3798189c9,-61,100
b4c8c0b52049e4de,-76,97
de81d543721249f6,-67,84
fc337481622c4dc8,-56,87
4b528a07c6810670,-58,85
a58db253434c6759,-47,98
9fcccaab3f956f66,-61,98
dbde4e323567f381,-61,100
de81d543721249f6,-61,84
fc337481622c4dc8,-51,87
4b528a07c6810670,-51,85
a58db253434c6759,-52,98
9fcccaab3f956f66,-52,98
e2d0d77756858a3c,-70,94
dbde4e323567f381,-59,100
359da2e3798189c9,-62,100
917cd714e1103994,-67,75
9a97a9cd9ac398de,-52,79
de81d543721249f6,-64,84
fc337481622c4dc8,-56,87
a58db253434c6759,-50,98
9fcccaab3f956f66,-58,98
dbde4e323567f381,-59,100
0d5c5b6ed855dbbc,-62,47
9a97a9cd9ac398de,-52,79
de81d543721249f6,-61,84
fc337481622c4dc8,-52,87
4b528a07c6810670,-54,85
a58db253434c6759,-50,98
9fcccaab3f956f66,-54,98
359da2e3798189c9,-59,100
dbde4e323567f381,-60,100
0d5c5b6ed855dbbc,-68,47
fc337481622c4dc8,-52,87
4b528a07c6810670,-58,85
a58db253434c6759,-53,98
9fcccaab3f956f66,-62,98
b4c8c0b52049e4de,-78,97
9a97a9cd9ac398de,-62,79
4b528a07c6810670,-53,85
7eb3bed60a67f44d,-65,85
a58db253434c6759,-51,98
9fcccaab3f956f66,-54,98
dbde4e323567f381,-59,100
917cd714e1103994,-61,75
9a97a9cd9ac398de,-51,79
de81d543721249f6,-56,84
fc337481622c4dc8,-61,87
4b528a07c6810670,-54,85
a58db253434c6759,-52,98
9fcccaab3f956f66,-63,98
0d5c5b6ed855dbbc,-62,47
917cd714e1103994,-60,75
9a97a9cd9ac398de,-59,79
de81d543721249f6,-61,84
fc337481622c4dc8,-51,87
4b528a07c6810670,-53,85
7eb3bed60a67f44d,-67,85
a58db253434c6759,-51,98
359da2e3798189c9,-58,100
dbde4e323567f381,-58,100
9a97a9cd9ac398de,-60,79
de81d543721249f6,-62,84
7eb3bed60a67f44d,-56,85
a58db253434c6759,-53,98
9fcccaab3f956f66,-59,98
359da2e3798189c9,-60,100
