idEstimote,Battery,Rssi
9fcccaab3f956f66,-64,98
de81d543721249f6,-51,84
e2d0d77756858a3c,-62,94
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-43,85
917cd714e1103994,-62,75
a58db253434c6759,-49,98
9a97a9cd9ac398de,-43,79
b4c8c0b52049e4de,-71,97
dbde4e323567f381,-52,100
359da2e3798189c9,-57,100
de81d543721249f6,-53,84
e2d0d77756858a3c,-64,94
7eb3bed60a67f44d,-42,85
917cd714e1103994,-45,75
9a97a9cd9ac398de,-54,79
0d5c5b6ed855dbbc,-51,47
359da2e3798189c9,-59,100
de81d543721249f6,-51,84
4b528a07c6810670,-52,85
917cd714e1103994,-61,75
9a97a9cd9ac398de,-54,79
b4c8c0b52049e4de,-70,97
0d5c5b6ed855dbbc,-52,47
9fcccaab3f956f66,-68,98
359da2e3798189c9,-56,100
de81d543721249f6,-53,84
e2d0d77756858a3c,-62,94
4b528a07c6810670,-51,85
7eb3bed60a67f44d,-36,85
917cd714e1103994,-52,75
a58db253434c6759,-45,98
dbde4e323567f381,-53,100
fc337481622c4dc8,-51,87
359da2e3798189c9,-58,100
de81d543721249f6,-50,84
e2d0d77756858a3c,-62,94
a58db253434c6759,-45,98
9a97a9cd9ac398de,-55,79
b4c8c0b52049e4de,-68,97
0d5c5b6ed855dbbc,-61,47
9fcccaab3f956f66,-61,98
359da2e3798189c9,-56,100
de81d543721249f6,-46,84
e2d0d77756858a3c,-61,94
7eb3bed60a67f44d,-42,85
917cd714e1103994,-65,75
0d5c5b6ed855dbbc,-52,47
9fcccaab3f956f66,-52,98
359da2e3798189c9,-56,100
de81d543721249f6,-50,84
e2d0d77756858a3c,-57,94
4b528a07c6810670,-42,85
a58db253434c6759,-45,98
917cd714e1103994,-62,75
9fcccaab3f956f66,-67,98
359da2e3798189c9,-59,100
e2d0d77756858a3c,-62,94
7eb3bed60a67f44d,-36,85
b4c8c0b52049e4de,-70,97
dbde4e323567f381,-51,100
0d5c5b6ed855dbbc,-52,47
359da2e3798189c9,-59,100
e2d0d77756858a3c,-56,94
7eb3bed60a67f44d,-41,85
a58db253434c6759,-45,98
917cd714e1103994,-52,75
b4c8c0b52049e4de,-75,97
fc337481622c4dc8,-47,87
0d5c5b6ed855dbbc,-61,47
9fcccaab3f956f66,-56,98
359da2e3798189c9,-58,100
de81d543721249f6,-50,84
e2d0d77756858a3c,-61,94
4b528a07c6810670,-53,85
917cd714e1103994,-46,75
fc337481622c4dc8,-59,87
359da2e3798189c9,-59,100
de81d543721249f6,-46,84
e2d0d77756858a3c,-56,94
a58db253434c6759,-50,98
917cd714e1103994,-62,75
9a97a9cd9ac398de,-54,79
b4c8c0b52049e4de,-72,97
fc337481622c4dc8,-51,87
0d5c5b6ed855dbbc,-63,47
de81d543721249f6,-54,84
e2d0d77756858a3c,-55,94
4b528a07c6810670,-51,85
7eb3bed60a67f44d,-38,85
a58db253434c6759,-45,98
9a97a9cd9ac398de,-55,79
fc337481622c4dc8,-58,87
359da2e3798189c9,-58,100
de81d543721249f6,-52,84
e2d0d77756858a3c,-56,94
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-37,85
917cd714e1103994,-52,75
a58db253434c6759,-45,98
fc337481622c4dc8,-46,87
dbde4e323567f381,-57,100
9fcccaab3f956f66,-71,98
de81d543721249f6,-65,84
e2d0d77756858a3c,-62,94
4b528a07c6810670,-52,85
917cd714e1103994,-52,75
a58db253434c6759,-50,98
9a97a9cd9ac398de,-54,79
b4c8c0b52049e4de,-70,97
dbde4e323567f381,-52,100
359da2e3798189c9,-58,100
9fcccaab3f956f66,-58,98
de81d543721249f6,-50,84
e2d0d77756858a3c,-57,94
4b528a07c6810670,-42,85
7eb3bed60a67f44d,-38,85
9a97a9cd9ac398de,-43,79
0d5c5b6ed855dbbc,-63,47
359da2e3798189c9,-59,100
9fcccaab3f956f66,-63,98
7eb3bed60a67f44d,-42,85
917cd714e1103994,-51,75
dbde4e323567f381,-55,100
0d5c5b6ed855dbbc,-52,47
359da2e3798189c9,-57,100
9fcccaab3f956f66,-55,98
de81d543721249f6,-46,84
e2d0d77756858a3c,-63,94
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-38,85
a58db253434c6759,-45,98
917cd714e1103994,-52,75
b4c8c0b52049e4de,-72,97
fc337481622c4dc8,-59,87
0d5c5b6ed855dbbc,-59,47
9fcccaab3f956f66,-61,98
de81d543721249f6,-50,84
e2d0d77756858a3c,-60,94
7eb3bed60a67f44d,-36,85
a58db253434c6759,-45,98
9a97a9cd9ac398de,-54,79
dbde4e323567f381,-54,100
359da2e3798189c9,-58,100
de81d543721249f6,-46,84
e2d0d77756858a3c,-56,94
4b528a07c6810670,-42,85
a58db253434c6759,-50,98
917cd714e1103994,-59,75
9a97a9cd9ac398de,-55,79
fc337481622c4dc8,-59,87
dbde4e323567f381,-51,100
359da2e3798189c9,-58,100
9fcccaab3f956f66,-52,98
e2d0d77756858a3c,-59,94
4b528a07c6810670,-53,85
7eb3bed60a67f44d,-38,85
917cd714e1103994,-52,75
a58db253434c6759,-49,98
9a97a9cd9ac398de,-43,79
b4c8c0b52049e4de,-73,97
fc337481622c4dc8,-46,87
0d5c5b6ed855dbbc,-61,47
dbde4e323567f381,-51,100
359da2e3798189c9,-56,100
9fcccaab3f956f66,-58,98
de81d543721249f6,-52,84
4b528a07c6810670,-43,85
7eb3bed60a67f44d,-37,85
9a97a9cd9ac398de,-53,79
fc337481622c4dc8,-56,87
0d5c5b6ed855dbbc,-52,47
dbde4e323567f381,-52,100
9fcccaab3f956f66,-60,98
917cd714e1103994,-51,75
9a97a9cd9ac398de,-59,79
b4c8c0b52049e4de,-86,97
dbde4e323567f381,-67,100
359da2e3798189c9,-74,100
9fcccaab3f956f66,-81,98
de81d543721249f6,-50,84
4b528a07c6810670,-69,85
7eb3bed60a67f44d,-54,85
917cd714e1103994,-45,75
9a97a9cd9ac398de,-59,79
0d5c5b6ed855dbbc,-61,47
fc337481622c4dc8,-51,87
359da2e3798189c9,-73,100
de81d543721249f6,-66,84
e2d0d77756858a3c,-73,94
7eb3bed60a67f44d,-60,85
917cd714e1103994,-61,75
a58db253434c6759,-81,98
9a97a9cd9ac398de,-71,79
b4c8c0b52049e4de,-86,97
fc337481622c4dc8,-47,87
de81d543721249f6,-45,84
4b528a07c6810670,-52,85
7eb3bed60a67f44d,-36,85
917cd714e1103994,-51,75
a58db253434c6759,-49,98
9a97a9cd9ac398de,-43,79
fc337481622c4dc8,-46,87
dbde4e323567f381,-53,100
359da2e3798189c9,-58,100
9fcccaab3f956f66,-61,98
de81d543721249f6,-61,84
e2d0d77756858a3c,-60,94
4b528a07c6810670,-51,85
7eb3bed60a67f44d,-42,85
917cd714e1103994,-46,75
a58db253434c6759,-45,98
9a97a9cd9ac398de,-54,79
fc337481622c4dc8,-58,87
0d5c5b6ed855dbbc,-51,47
dbde4e323567f381,-56,100
359da2e3798189c9,-56,100
9fcccaab3f956f66,-69,98
7eb3bed60a67f44d,-36,85
917cd714e1103994,-45,75
9a97a9cd9ac398de,-55,79
0d5c5b6ed855dbbc,-63,47
dbde4e323567f381,-51,100
359da2e3798189c9,-56,100
de81d543721249f6,-50,84
e2d0d77756858a3c,-60,94
917cd714e1103994,-59,75
9a97a9cd9ac398de,-54,79
