idEstimote,Battery,Rssi
fc337481622c4dc8,-65,87
a58db253434c6759,-52,97
a58db253434c6759,-51,97
de81d543721249f6,-46,84
4b528a07c6810670,-54,84
359da2e3798189c9,-62,99
9fcccaab3f956f66,-52,97
7eb3bed60a67f44d,-60,84
7eb3bed60a67f44d,-64,84
fc337481622c4dc8,-65,87
9a97a9cd9ac398de,-51,78
359da2e3798189c9,-62,99
a58db253434c6759,-52,97
de81d543721249f6,-44,84
9fcccaab3f956f66,-56,97
a58db253434c6759,-62,97
4b528a07c6810670,-59,84
9fcccaab3f956f66,-54,97
fc337481622c4dc8,-53,87
4b528a07c6810670,-54,84
dbde4e323567f381,-69,100
917cd714e1103994,-76,74
9fcccaab3f956f66,-45,97
0d5c5b6ed855dbbc,-73,47
a58db253434c6759,-61,97
de81d543721249f6,-43,84
dbde4e323567f381,-74,100
e2d0d77756858a3c,-68,93
359da2e3798189c9,-62,99
0d5c5b6ed855dbbc,-79,47
a58db253434c6759,-65,97
8ce4d6e271cbcdec,-75,100
9fcccaab3f956f66,-53,97
a58db253434c6759,-52,97
4b528a07c6810670,-56,84
dbde4e323567f381,-66,100
9a97a9cd9ac398de,-61,78
9fcccaab3f956f66,-46,97
a58db253434c6759,-62,97
4b528a07c6810670,-54,84
9fcccaab3f956f66,-55,97
fc337481622c4dc8,-56,87
de81d543721249f6,-46,84
a58db253434c6759,-62,97
4b528a07c6810670,-62,84
9a97a9cd9ac398de,-50,78
359da2e3798189c9,-61,99
de81d543721249f6,-43,84
a58db253434c6759,-51,97
4b528a07c6810670,-64,84
9a97a9cd9ac398de,-49,78
9fcccaab3f956f66,-53,97
7eb3bed60a67f44d,-62,84
de81d543721249f6,-44,84
4b528a07c6810670,-55,84
dbde4e323567f381,-68,100
917cd714e1103994,-76,74
9fcccaab3f956f66,-53,97
4b528a07c6810670,-60,84
9a97a9cd9ac398de,-58,78
917cd714e1103994,-71,74
9fcccaab3f956f66,-52,97
7eb3bed60a67f44d,-61,84
de81d543721249f6,-43,84
4b528a07c6810670,-55,84
9a97a9cd9ac398de,-61,78
359da2e3798189c9,-60,99
9fcccaab3f956f66,-53,97
fc337481622c4dc8,-54,87
de81d543721249f6,-45,84
359da2e3798189c9,-73,99
9fcccaab3f956f66,-55,97
9a97a9cd9ac398de,-60,78
9fcccaab3f956f66,-52,97
7eb3bed60a67f44d,-62,84
de81d543721249f6,-46,84
a58db253434c6759,-61,97
9a97a9cd9ac398de,-50,78
359da2e3798189c9,-61,99
9fcccaab3f956f66,-54,97
de81d543721249f6,-46,84
a58db253434c6759,-51,97
4b528a07c6810670,-55,84
dbde4e323567f381,-70,100
9a97a9cd9ac398de,-60,78
de81d543721249f6,-46,84
8ce4d6e271cbcdec,-77,100
9a97a9cd9ac398de,-50,78
917cd714e1103994,-64,74
9fcccaab3f956f66,-54,97
7eb3bed60a67f44d,-63,84
fc337481622c4dc8,-54,87
de81d543721249f6,-43,84
a58db253434c6759,-52,97
4b528a07c6810670,-54,84
dbde4e323567f381,-67,100
9a97a9cd9ac398de,-58,78
359da2e3798189c9,-60,99
917cd714e1103994,-68,74
9fcccaab3f956f66,-52,97
de81d543721249f6,-46,84
a58db253434c6759,-62,97
9a97a9cd9ac398de,-59,78
917cd714e1103994,-67,74
9fcccaab3f956f66,-45,97
7eb3bed60a67f44d,-67,84
de81d543721249f6,-43,84
4b528a07c6810670,-54,84
9fcccaab3f956f66,-53,97
de81d543721249f6,-43,84
9a97a9cd9ac398de,-49,78
9fcccaab3f956f66,-45,97
de81d543721249f6,-43,84
a58db253434c6759,-53,97
4b528a07c6810670,-62,84
9a97a9cd9ac398de,-60,78
917cd714e1103994,-68,74
7eb3bed60a67f44d,-62,84
fc337481622c4dc8,-65,87
de81d543721249f6,-46,84
dbde4e323567f381,-66,100
9a97a9cd9ac398de,-57,78
9fcccaab3f956f66,-56,97
de81d543721249f6,-44,84
9a97a9cd9ac398de,-50,78
7eb3bed60a67f44d,-63,84
de81d543721249f6,-44,84
a58db253434c6759,-53,97
4b528a07c6810670,-62,84
9a97a9cd9ac398de,-58,78
e2d0d77756858a3c,-69,93
9fcccaab3f956f66,-45,97
fc337481622c4dc8,-53,87
4b528a07c6810670,-55,84
9a97a9cd9ac398de,-60,78
9fcccaab3f956f66,-52,97
fc337481622c4dc8,-62,87
de81d543721249f6,-46,84
4b528a07c6810670,-62,84
9a97a9cd9ac398de,-60,78
9fcccaab3f956f66,-57,97
7eb3bed60a67f44d,-60,84
a58db253434c6759,-51,97
4b528a07c6810670,-60,84
9fcccaab3f956f66,-52,97
7eb3bed60a67f44d,-60,84
fc337481622c4dc8,-66,87
a58db253434c6759,-62,97
9a97a9cd9ac398de,-55,78
e2d0d77756858a3c,-67,93
9fcccaab3f956f66,-44,97
