idEstimote,Battery,Rssi
0d5c5b6ed855dbbc,-56,47
a58db253434c6759,-62,97
b4c8c0b52049e4de,-51,96
dbde4e323567f381,-59,100
917cd714e1103994,-52,74
0d5c5b6ed855dbbc,-61,47
7eb3bed60a67f44d,-55,84
b4c8c0b52049e4de,-63,96
dbde4e323567f381,-54,100
917cd714e1103994,-51,74
9fcccaab3f956f66,-64,97
7eb3bed60a67f44d,-63,84
dbde4e323567f381,-54,100
9fcccaab3f956f66,-59,97
0d5c5b6ed855dbbc,-56,47
de81d543721249f6,-62,84
4b528a07c6810670,-64,84
9a97a9cd9ac398de,-68,78
e2d0d77756858a3c,-57,93
917cd714e1103994,-71,74
8ce4d6e271cbcdec,-73,100
fc337481622c4dc8,-61,87
dbde4e323567f381,-61,100
359da2e3798189c9,-56,99
9a97a9cd9ac398de,-56,78
e2d0d77756858a3c,-61,93
0d5c5b6ed855dbbc,-56,47
7eb3bed60a67f44d,-54,84
4b528a07c6810670,-68,84
b4c8c0b52049e4de,-59,96
dbde4e323567f381,-53,100
359da2e3798189c9,-55,99
e2d0d77756858a3c,-57,93
9fcccaab3f956f66,-59,97
0d5c5b6ed855dbbc,-61,47
7eb3bed60a67f44d,-62,84
e2d0d77756858a3c,-57,93
917cd714e1103994,-70,74
0d5c5b6ed855dbbc,-56,47
a58db253434c6759,-70,97
b4c8c0b52049e4de,-62,96
dbde4e323567f381,-56,100
359da2e3798189c9,-54,99
9a97a9cd9ac398de,-64,78
e2d0d77756858a3c,-63,93
9fcccaab3f956f66,-58,97
7eb3bed60a67f44d,-63,84
359da2e3798189c9,-53,99
e2d0d77756858a3c,-57,93
917cd714e1103994,-50,74
8ce4d6e271cbcdec,-73,100
b4c8c0b52049e4de,-56,96
9a97a9cd9ac398de,-57,78
e2d0d77756858a3c,-55,93
0d5c5b6ed855dbbc,-55,47
7eb3bed60a67f44d,-58,84
dbde4e323567f381,-55,100
359da2e3798189c9,-55,99
e2d0d77756858a3c,-60,93
9fcccaab3f956f66,-69,97
de81d543721249f6,-63,84
b4c8c0b52049e4de,-69,96
dbde4e323567f381,-58,100
de81d543721249f6,-63,84
7eb3bed60a67f44d,-52,84
a58db253434c6759,-62,97
dbde4e323567f381,-55,100
359da2e3798189c9,-55,99
9a97a9cd9ac398de,-59,78
e2d0d77756858a3c,-63,93
9fcccaab3f956f66,-70,97
de81d543721249f6,-61,84
7eb3bed60a67f44d,-54,84
dbde4e323567f381,-53,100
e2d0d77756858a3c,-66,93
917cd714e1103994,-51,74
de81d543721249f6,-62,84
7eb3bed60a67f44d,-53,84
4b528a07c6810670,-73,84
a58db253434c6759,-58,97
b4c8c0b52049e4de,-63,96
9a97a9cd9ac398de,-64,78
0d5c5b6ed855dbbc,-56,47
b4c8c0b52049e4de,-55,96
359da2e3798189c9,-55,99
e2d0d77756858a3c,-62,93
9fcccaab3f956f66,-61,97
0d5c5b6ed855dbbc,-55,47
b4c8c0b52049e4de,-62,96
7eb3bed60a67f44d,-61,84
b4c8c0b52049e4de,-51,96
dbde4e323567f381,-54,100
359da2e3798189c9,-56,99
a58db253434c6759,-68,97
359da2e3798189c9,-54,99
9a97a9cd9ac398de,-59,78
917cd714e1103994,-50,74
de81d543721249f6,-62,84
7eb3bed60a67f44d,-53,84
4b528a07c6810670,-64,84
e2d0d77756858a3c,-63,93
9fcccaab3f956f66,-69,97
0d5c5b6ed855dbbc,-61,47
a58db253434c6759,-63,97
b4c8c0b52049e4de,-53,96
359da2e3798189c9,-54,99
9a97a9cd9ac398de,-58,78
7eb3bed60a67f44d,-53,84
a58db253434c6759,-62,97
359da2e3798189c9,-55,99
9a97a9cd9ac398de,-63,78
917cd714e1103994,-52,74
0d5c5b6ed855dbbc,-61,47
4b528a07c6810670,-71,84
dbde4e323567f381,-58,100
9a97a9cd9ac398de,-59,78
9fcccaab3f956f66,-68,97
0d5c5b6ed855dbbc,-57,47
b4c8c0b52049e4de,-55,96
dbde4e323567f381,-55,100
9a97a9cd9ac398de,-67,78
917cd714e1103994,-51,74
0d5c5b6ed855dbbc,-60,47
8ce4d6e271cbcdec,-73,100
b4c8c0b52049e4de,-61,96
359da2e3798189c9,-54,99
917cd714e1103994,-68,74
7eb3bed60a67f44d,-64,84
a58db253434c6759,-62,97
b4c8c0b52049e4de,-52,96
dbde4e323567f381,-53,100
917cd714e1103994,-51,74
9fcccaab3f956f66,-59,97
de81d543721249f6,-66,84
a58db253434c6759,-59,97
b4c8c0b52049e4de,-55,96
359da2e3798189c9,-55,99
9a97a9cd9ac398de,-58,78
917cd714e1103994,-74,74
0d5c5b6ed855dbbc,-55,47
7eb3bed60a67f44d,-59,84
fc337481622c4dc8,-73,87
dbde4e323567f381,-57,100
9fcccaab3f956f66,-67,97
a58db253434c6759,-60,97
dbde4e323567f381,-53,100
0d5c5b6ed855dbbc,-56,47
7eb3bed60a67f44d,-60,84
b4c8c0b52049e4de,-55,96
dbde4e323567f381,-55,100
359da2e3798189c9,-54,99
9a97a9cd9ac398de,-61,78
917cd714e1103994,-51,74
4b528a07c6810670,-70,84
a58db253434c6759,-59,97
dbde4e323567f381,-58,100
9a97a9cd9ac398de,-59,78
0d5c5b6ed855dbbc,-62,47
de81d543721249f6,-60,84
9fcccaab3f956f66,-59,97
a58db253434c6759,-60,97
dbde4e323567f381,-58,100
e2d0d77756858a3c,-67,93
0d5c5b6ed855dbbc,-59,47
7eb3bed60a67f44d,-53,84
dbde4e323567f381,-53,100
359da2e3798189c9,-55,99
e2d0d77756858a3c,-67,93
9fcccaab3f956f66,-57,97
0d5c5b6ed855dbbc,-56,47
a58db253434c6759,-69,97
8ce4d6e271cbcdec,-72,100
dbde4e323567f381,-58,100
e2d0d77756858a3c,-56,93
917cd714e1103994,-49,74
9fcccaab3f956f66,-62,97
0d5c5b6ed855dbbc,-61,47
b4c8c0b52049e4de,-52,96
359da2e3798189c9,-54,99
9a97a9cd9ac398de,-57,78
7eb3bed60a67f44d,-60,84
a58db253434c6759,-61,97
b4c8c0b52049e4de,-56,96
dbde4e323567f381,-52,100
e2d0d77756858a3c,-57,93
9fcccaab3f956f66,-57,97
b4c8c0b52049e4de,-58,96
dbde4e323567f381,-51,100
9a97a9cd9ac398de,-67,78
e2d0d77756858a3c,-71,93
0d5c5b6ed855dbbc,-58,47
a58db253434c6759,-61,97
0d5c5b6ed855dbbc,-60,47
7eb3bed60a67f44d,-52,84
de81d543721249f6,-61,84
a58db253434c6759,-59,97
fc337481622c4dc8,-75,87
359da2e3798189c9,-55,99
a58db253434c6759,-59,97
359da2e3798189c9,-56,99
9a97a9cd9ac398de,-57,78
e2d0d77756858a3c,-55,93
9fcccaab3f956f66,-59,97
7eb3bed60a67f44d,-78,84
8ce4d6e271cbcdec,-87,100
b4c8c0b52049e4de,-72,96
9a97a9cd9ac398de,-75,78
9fcccaab3f956f66,-83,97
de81d543721249f6,-77,84
fc337481622c4dc8,-84,87
dbde4e323567f381,-54,100
9a97a9cd9ac398de,-75,78
917cd714e1103994,-50,74
7eb3bed60a67f44d,-80,84
4b528a07c6810670,-77,84
b4c8c0b52049e4de,-76,96
