idEstimote,Battery,Rssi
0d5c5b6ed855dbbc,-54,47
7eb3bed60a67f44d,-60,84
917cd714e1103994,-49,74
0d5c5b6ed855dbbc,-57,47
dbde4e323567f381,-51,100
b4c8c0b52049e4de,-57,96
e2d0d77756858a3c,-61,93
917cd714e1103994,-49,74
dbde4e323567f381,-57,100
b4c8c0b52049e4de,-61,96
359da2e3798189c9,-54,99
0d5c5b6ed855dbbc,-55,47
dbde4e323567f381,-51,100
9a97a9cd9ac398de,-61,78
e2d0d77756858a3c,-56,93
b4c8c0b52049e4de,-60,96
359da2e3798189c9,-56,99
9a97a9cd9ac398de,-71,78
e2d0d77756858a3c,-63,93
0d5c5b6ed855dbbc,-59,47
a58db253434c6759,-61,97
dbde4e323567f381,-60,100
b4c8c0b52049e4de,-59,96
917cd714e1103994,-51,74
9fcccaab3f956f66,-56,97
de81d543721249f6,-61,84
a58db253434c6759,-59,97
dbde4e323567f381,-57,100
9a97a9cd9ac398de,-69,78
e2d0d77756858a3c,-56,93
0d5c5b6ed855dbbc,-60,47
4b528a07c6810670,-73,84
b4c8c0b52049e4de,-59,96
359da2e3798189c9,-55,99
9a97a9cd9ac398de,-59,78
e2d0d77756858a3c,-61,93
0d5c5b6ed855dbbc,-59,47
dbde4e323567f381,-60,100
b4c8c0b52049e4de,-52,96
359da2e3798189c9,-54,99
e2d0d77756858a3c,-59,93
9fcccaab3f956f66,-57,97
a58db253434c6759,-72,97
b4c8c0b52049e4de,-59,96
dbde4e323567f381,-55,100
e2d0d77756858a3c,-57,93
9fcccaab3f956f66,-66,97
0d5c5b6ed855dbbc,-59,47
4b528a07c6810670,-68,84
b4c8c0b52049e4de,-52,96
359da2e3798189c9,-55,99
917cd714e1103994,-51,74
0d5c5b6ed855dbbc,-60,47
7eb3bed60a67f44d,-54,84
8ce4d6e271cbcdec,-73,100
359da2e3798189c9,-53,99
de81d543721249f6,-63,84
dbde4e323567f381,-52,100
9a97a9cd9ac398de,-59,78
e2d0d77756858a3c,-59,93
0d5c5b6ed855dbbc,-54,47
7eb3bed60a67f44d,-53,84
a58db253434c6759,-62,97
359da2e3798189c9,-53,99
917cd714e1103994,-69,74
