position,7eb3bed60a67f44d,fc337481622c4dc8,4b528a07c6810670,de81d543721249f6,9fcccaab3f956f66,a58db253434c6759,4af6994df3a900b9,9a97a9cd9ac398de,b4c8c0b52049e4de
"(30.85, 7)",-37.09,-45.41,-56.85,-47.85,-45.36,-45.5,-74.76,-84.0,-65.88
"(30.85, 3.5)",-48.22,-49.1,-41.64,-46.55,-52.73,-51.03,100,100,-70.0
"(30.85, 3.5)",-46.95,-48.24,-40.73,-48.08,-51.7,-50.75,100,100,-72.82
"(30.85, 7)",-42.3,-51.26,-52.45,-54.75,-55.71,-57.48,-72.0,100,-72.0
"(30.85, 7)",-41.98,-52.06,-53.31,-54.1,-54.07,-57.57,-72.0,100,-73.75
"(23.15, 3.5)",-51.91,-54.29,-53.31,-36.28,-48.38,-51.65,-75.67,100,-71.67
"(23.15, 3.5)",-53.71,-59.42,-54.4,-36.67,-49.98,-56.39,-77.0,100,-71.33
"(23.15, 3.5)",-51.33,-56.69,-52.84,-36.83,-49.32,-55.48,-75.0,100,-73.08
"(19.23, 7)",-55.36,-59.23,-54.85,-55.54,-37.9,-43.82,-76.0,100,-76.67
"(19.23, 7)",-56.12,-58.47,-54.91,-60.38,-38.67,-44.09,-75.33,100,-80.0
"(2.82, 6.2)",100,100,100,100,100,100,-44.05,-47.45,-53.83
"(3.6, 10)",100,100,100,100,100,100,-48.35,-50.89,-53.88
"(3.6, 13.5)",100,100,100,100,100,100,-54.08,-49.27,-49.37
"(3.6, 17)",100,100,100,100,100,100,-56.0,-52.65,-45.67
"(3.6, 13.5)",100,100,100,100,100,100,-58.0,-45.94,-45.3
"(3.6, 13.5)",100,100,100,100,100,100,-57.31,-46.83,-44.5
"(3.6, 13.5)",100,100,100,100,100,100,-55.83,-47.0,-44.37
"(3.6, 10)",100,100,100,100,100,100,-43.1,-41.21,-49.79
"(3.6, 10)",100,100,100,100,100,100,-40.55,-38.82,-48.21
"(3.6, 10)",100,100,100,100,100,100,-43.55,-40.41,-51.76
"(3.6, 10)",100,100,100,100,100,100,-40.65,-38.67,-49.89
"(19.55, 3.5)",-51.0,-50.48,-57.1,-42.45,-48.53,-47.94,-75.5,100,-76.0
"(23.15, 3.5)",-54.36,-49.92,-48.72,-46.75,-50.81,-54.51,-74.11,100,-73.67
"(26.85, 3.5)",-49.61,-50.23,-48.42,-51.29,-48.59,-53.91,-81.0,100,-72.4
"(30.85, 3.5)",-53.92,-45.09,-48.28,-49.9,-50.96,-56.21,-72.86,100,-70.1
"(19.23, 7)",-45.13,-48.25,-48.38,-46.71,-44.69,-43.24,-77.94,100,-72.0
"(21.75, 7)",-54.69,-51.85,-48.72,-42.76,-44.82,-47.58,-78.0,100,-72.6
"(25.95, 7)",-49.49,-52.8,-46.74,-48.72,-48.24,-46.15,100,100,-74.11
