position,a58db253434c6759,9fcccaab3f956f66,de81d543721249f6,4b528a07c6810670,fc337481622c4dc8,9a97a9cd9ac398de,7eb3bed60a67f44d,359da2e3798189c9,b4c8c0b52049e4de,e2d0d77756858a3c,0d5c5b6ed855dbbc,dbde4e323567f381
M10,-49.3,-51.64,-51.95,-51.05,-50.27,-52.18,-55.44,-59.85,-70.71,-70.0,-61.93,-59.8
M11,-43.53,-47.0,-56.92,-55.19,-46.44,-52.23,-55.21,-52.59,-58.6,-54.06,-63.46,-63.69
M12,-52.84,-52.91,-55.88,-56.68,-51.3,-52.33,-55.29,-58.95,-56.5,-60.1,-63.6,-56.93
M15,-64.58,-66.58,-63.23,-70.73,-68.5,-60.21,-62.38,-60.2,-49.7,-58.79,-60.44,-57.06
M16,-56.74,-59.3,-62.25,-55.92,-57.0,-62.08,-56.12,-46.2,-44.82,-60.19,-60.4,-56.79
M17,-43.42,-53.92,-57.24,-54.14,-63.61,-56.18,-56.81,-53.86,-57.12,-61.82,-58.07,-61.32
M19,-52.36,-58.75,-61.3,-54.9,-56.18,-54.53,-63.89,-62.7,-81.33,-71.4,-64.36,-59.06
M20,-58.75,-59.29,-62.75,-61.24,-63.0,-58.31,-56.9,-64.83,-49.47,-53.16,-58.71,-60.21
M22,-50.11,-55.71,-43.9,-57.08,-53.33,-53.41,-49.78,-54.0,-65.07,-57.25,-61.06,-55.55
M24,-49.13,-50.65,-55.24,-54.83,-51.42,-45.72,-50.06,-64.29,-59.8,-68.44,-61.85,-61.33
M25,-64.0,-68.75,-70.62,-65.2,-70.0,-70.77,-56.94,-59.31,-57.14,-48.0,-65.57,-62.41
M26,-57.05,-55.75,-58.15,-64.0,-59.33,-57.8,-55.95,-49.72,-55.39,-45.75,-60.8,-48.47
M27,-52.1,-55.29,-52.12,-56.11,-53.65,-56.21,-52.92,-58.0,-65.82,-54.19,-54.4,-59.86
M29,-48.78,-62.18,-51.42,-49.61,-52.25,-52.86,-40.29,-58.76,-73.69,-60.39,-56.93,-54.13
M29,-51.61,-58.5,-56.71,-55.0,-64.67,-49.48,-45.73,-62.9,-65.85,-59.17,-63.23,-59.5
M30,-66.44,-75.25,100,-63.71,-67.8,-61.36,-62.44,-59.42,-56.0,-51.76,-54.18,-56.58
M31,-62.0,-63.53,-63.7,-69.57,-73.25,-62.26,-59.35,-54.72,-58.86,-60.78,-58.0,-55.52
M5,-46.35,-49.42,-47.24,-50.15,-48.54,-56.28,-52.5,-58.93,-63.13,-55.48,-65.62,-60.19
M6,-48.71,-50.78,-56.8,-45.0,-39.96,-51.12,-60.62,-57.31,-63.31,-67.73,-69.36,-67.78
M7,-56.39,-51.52,-44.5,-57.61,-59.3,-55.8,-62.18,-62.62,100,-68.0,-76.0,-68.57
M8,-49.8,-54.25,-48.26,-52.75,-52.5,-55.14,-56.61,-53.43,-68.0,-56.18,-67.0,-54.93
