position,a58db253434c6759,9fcccaab3f956f66,de81d543721249f6,4b528a07c6810670,fc337481622c4dc8,9a97a9cd9ac398de,7eb3bed60a67f44d,359da2e3798189c9,b4c8c0b52049e4de,e2d0d77756858a3c,0d5c5b6ed855dbbc,dbde4e323567f381
M10,-48.55,-49.0,-50.84,-48.74,-50.35,-50.5,-54.72,-57.29,-71.88,-74.5,-57.38,-58.94
M10,-47.88,-49.72,-50.05,-48.8,-53.65,-52.09,-52.16,-56.25,-69.38,-68.86,-57.87,-57.84
M10,-48.25,-50.1,-50.73,-49.12,-48.21,-50.7,-54.33,-57.61,-70.0,-74.5,-56.12,-59.48
M11,-44.25,-47.68,-64.88,-59.16,-46.45,-54.28,-58.71,-60.0,-61.67,-55.18,-63.69,-62.1
M11,-42.76,-48.61,-60.2,-55.84,-48.26,-53.94,-58.35,-57.48,-60.24,-57.08,-65.6,-63.87
M11,-43.87,-46.62,-58.21,-56.79,-46.0,-53.61,-56.8,-57.47,-58.0,-56.69,-62.42,-63.43
M12,-52.8,-51.58,-54.26,-53.06,-51.04,-51.65,-53.84,-57.91,-61.11,-59.87,-58.74,-56.07
M12,-49.52,-52.2,-53.83,-56.04,-53.04,-51.57,-55.77,-55.9,-59.84,-59.42,-60.16,-57.58
M12,-51.69,-51.32,-53.58,-52.91,-53.88,-53.29,-55.53,-56.59,-63.21,-60.17,-60.18,-56.81
M15,-64.69,-66.7,-61.0,-64.82,-60.57,-60.78,-63.25,-62.3,-50.55,-56.05,-58.84,-55.76
M15,-63.91,-68.19,-61.44,-69.8,-60.33,-60.65,-64.75,-61.77,-48.35,-57.21,-58.83,-57.64
M15,-64.2,-64.47,-61.81,-66.78,-60.89,-61.58,-60.64,-59.5,-50.95,-56.08,-59.74,-55.48
M15,-64.3,-65.31,-63.35,-66.0,-63.8,-57.26,-62.39,-61.7,-48.95,-57.65,-61.0,-56.88
M16,-56.41,-61.4,-56.67,-54.19,-58.75,-54.2,-53.5,-45.89,-45.64,-54.79,-61.82,-53.5
M16,-55.8,-59.17,-60.12,-52.56,-57.87,-55.88,-55.27,-44.27,-44.04,-56.88,-59.25,-59.12
M16,-59.0,-59.47,-59.33,-51.46,-57.6,-62.81,-56.55,-44.4,-45.4,-59.68,-59.89,-59.86
M16,-56.58,-58.42,-60.12,-51.5,-59.38,-58.27,-56.29,-44.53,-43.58,-56.06,-58.04,-58.0
M17,-43.64,-54.87,-56.0,-52.15,-61.36,-52.33,-54.58,-53.89,-56.79,-57.87,-57.38,-62.7
M17,-43.05,-54.77,-56.05,-53.2,-60.33,-53.95,-57.23,-55.55,-56.4,-59.0,-58.43,-63.0
M17,-43.92,-53.53,-55.38,-53.0,-54.08,-53.27,-54.6,-53.8,-57.25,-56.81,-58.3,-60.06
M17,-44.04,-57.13,-57.57,-55.2,-59.6,-55.45,-57.44,-54.67,-58.27,-57.6,-58.44,-62.04
M19,-49.56,-57.47,-61.56,-54.65,-57.45,-52.94,-62.5,-62.5,-75.75,-70.0,-68.11,-59.1
M19,-52.0,-52.17,-55.95,-46.92,-52.25,-51.33,-54.86,-56.67,-54.91,-59.15,-59.5,-54.6
M19,-52.1,-53.75,-50.0,-48.95,-53.75,-49.79,-54.95,-56.16,-58.33,-58.71,-60.33,-57.15
M19,-52.5,-49.8,-53.24,-46.67,-53.72,-52.05,-54.43,-55.25,-60.67,-58.85,-58.94,-57.47
