Max,Min,Mean,Low Samples,Medium Samples,High Samples,Ultra Samples,Low Transictions,High Transictions,Tool
840.85, 646.81, 781.626, 0, 0, 60, 0, 16, 0,Sander
807.56, 573.25, 686.101, 0, 0, 60, 0, 8, 0,Sander
780.21, 171.79, 658.052, 0, 2, 12, 0, 3, 0,Sander
785.39, 566.84, 707.906, 0, 0, 60, 0, 18, 0,Sander
748.92, 145.34, 611.259, 0, 1, 20, 0, 1, 0,Sander
794.89, 40.51, 737.468, 0, 1, 58, 0, 15, 0,Sander
834.92, 586.9, 775.168, 0, 0, 60, 0, 25, 0,Sander
814.6, 6.94, 643.566, 1, 0, 28, 0, 5, 0,Sander
803.9, 157.29, 650.988, 0, 9, 50, 0, 14, 0,Sander
744.21, 553.05, 613.131, 0, 0, 60, 0, 6, 0,Sander
828.29, 571.59, 776.229, 0, 0, 60, 0, 19, 0,Sander
822.15, 571.59, 761.718, 0, 0, 60, 0, 16, 0,Sander
838.47, 547.42, 644.123, 0, 0, 60, 0, 14, 0,Sander
554.78, 7.18, 541.1, 1, 0, 51, 0, 0, 0,Sander
790.64, 49.56, 698.546, 0, 3, 55, 0, 20, 0,Sander
942.22, 675.37, 859.915, 0, 0, 59, 0, 18, 0,Sander
928.41, 798.83, 857.285, 0, 0, 60, 0, 20, 0,Sander
868.85, 586.9, 710.266, 0, 0, 60, 0, 12, 0,Sander
798.83, 735.57, 775.368, 0, 0, 60, 0, 16, 0,Sander
880.06, 6.31, 686.248, 1, 2, 37, 0, 8, 0,Sander
1653.01, 1571.34, 1606.807, 0, 0, 0, 59, 6, 1,Airblower
1654.73, 1612.78, 1645.272, 0, 0, 0, 60, 7, 1,Airblower
1680.97, 1611.14, 1646.391, 0, 0, 0, 60, 6, 1,Airblower
1700.75, 1642.77, 1673.902, 0, 0, 0, 60, 12, 1,Airblower
1682.75, 194.02, 1536.101, 0, 1, 0, 10, 1, 2,Airblower
589.18, 9.0, 344.523, 1, 31, 15, 0, 15, 0,Anglegrinder
398.75, 25.32, 300.775, 1, 52, 0, 0, 23, 0,Anglegrinder
420.58, 75.23, 302.981, 0, 30, 4, 0, 13, 0,Anglegrinder
631.78, 46.09, 326.228, 0, 20, 8, 0, 9, 0,Anglegrinder

